.model,date,points,.mean
ARIMA(points ~ trend() + season()),5/29/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),5/30/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/31/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/1/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/2/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/3/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/4/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/5/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),6/6/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/7/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/8/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/9/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/10/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/11/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),6/12/2025,N(5.7, 11)
